"IndicatorId","Label","MeasurementType","Denominator"
"FP_KFTP_W_BEF","Believes fertile period is before period begins","Percent","Women interviewed"
"FP_KFTP_W_DUR","Believes fertile period is during her period","Percent","Women interviewed"
"FP_KFTP_W_AFT","Believes fertile period is after period ended","Percent","Women interviewed"
"FP_KFTP_W_HLF","Believes fertile period is middle of the cycle","Percent","Women interviewed"
"FP_KFTP_W_OTH","Believes fertile period is 'other'","Percent","Women interviewed"
"FP_KFTP_W_NON","Believes fertile period is at any time","Percent","Women interviewed"
"FP_KFTP_W_DKN","Doesn't know the fertile period","Percent","Women interviewed"
"FP_KFTP_W_MIS","Fertile period: Missing","Percent","Women interviewed"
"FP_KFTP_W_TOT","Women: Total","Percent","Women interviewed"
"FP_KFTP_W_NUM","Number of women","Number","Women interviewed"
"FP_KFTP_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"FP_NADM_W_UNS","Unmet need for family planning for spacing","Percent","Currently married women"
"FP_NADM_W_UNL","Unmet need for family planning for limiting","Percent","Currently married women"
"FP_NADM_W_UNT","Unmet need for family planning","Percent","Currently married women"
"FP_NADM_W_MNS","Met need for family planning (currently using) for spacing","Percent","Currently married women"
"FP_NADM_W_MNL","Met need for family planning (currently using) for limiting","Percent","Currently married women"
"FP_NADM_W_MNT","Met need for family planning (currently using), total","Percent","Currently married women"
"FP_NADM_W_TDS","Total demand for family planning for spacing","Percent","Currently married women"
"FP_NADM_W_TDL","Total demand for family planning for limiting","Percent","Currently married women"
"FP_NADM_W_TDT","Total demand for family planning","Percent","Currently married women"
"FP_NADM_W_PDS","Demand for family planning satisfied","Percent","Currently married women"
"FP_NADM_W_PDM","Demand for family planning satisfied by modern methods","Percent","Currently married women"
"FP_NADM_W_NUM","Number of married women","Number","Currently married women"
"FP_NADM_W_UNW","Number of married women (unweighted)","Number","Currently married women"
"FP_NADA_W_UNS","Unmet need for family planning for spacing (all women)","Percent","All women"
"FP_NADA_W_UNL","Unmet need for family planning for limiting (all women)","Percent","All women"
"FP_NADA_W_UNT","Unmet need for family planning, total (all women)","Percent","All women"
"FP_NADA_W_MNS","Met need for family planning (currently using) for spacing (all women)","Percent","All women"
"FP_NADA_W_MNL","Met need for family planning (currently using) for limiting (all women)","Percent","All women"
"FP_NADA_W_MNT","Met need for family planning (currently using), total (all women)","Percent","All women"
"FP_NADA_W_TDS","Total demand for family planning for spacing (all women)","Percent","All women"
"FP_NADA_W_TDL","Total demand for family planning for limiting (all women)","Percent","All women"
"FP_NADA_W_TDT","Total demand for family planning, total (all women)","Percent","All women"
"FP_NADA_W_PDS","Demand for family planning satisfied (all women)","Percent","All women"
"FP_NADA_W_PDM","Demand for family planning satisfied by modern methods (all women)","Percent","All women"
"FP_NADA_W_NUM","Number of women","Number","All women"
"FP_NADA_W_UNW","Number of women (unweighted)","Number","All women"
"FP_NADU_W_UNS","Unmet need for family planning for spacing (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_UNL","Unmet need for family planning for limiting (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_UNT","Unmet need for family planning, total (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_MNS","Met need for family planning (currently using) for spacing (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_MNL","Met need for family planning (currently using) for limiting (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_MNT","Met need for family planning (currently using), total (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_TDS","Total demand for family planning for spacing (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_TDL","Total demand for family planning for limiting (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_TDT","Total demand for family planning, total (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_PDS","Demand for family planning satisfied (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_PDM","Demand for family planning satisfied by modern methods (sexually active unmarried women)","Percent","Sexually active unmarried women"
"FP_NADU_W_NUM","Number of sexually active unmarried women","Number","Sexually active unmarried women"
"FP_NADU_W_UNW","Number of sexually active unmarried women (unweighted)","Number","Sexually active unmarried women"
"FP_FUTU_W_INT","Future use of contraception: Intends to use in the future","Percent","Currently married women"
"FP_FUTU_W_I12","Future use of contraception: In next 12 months","Percent","Currently married women"
"FP_FUTU_W_ILT","Future use of contraception: Use later","Percent","Currently married women"
"FP_FUTU_W_IUN","Future use of contraception: Unsure about timing","Percent","Currently married women"
"FP_FUTU_W_UNS","Future use of contraception: Unsure about use","Percent","Currently married women"
"FP_FUTU_W_DNI","Future use of contraception: Does not intend","Percent","Currently married women"
"FP_FUTU_W_DKM","Future use of contraception: don't know or missing information on future intentions","Percent","Currently married women"
"FP_FUTU_W_TOT","Future use of contraception: Total","Percent","Currently married women"
"FP_FUTU_W_NUM","Married women not currently using a contraceptive method","Number","Currently married women"
"FP_FUTU_W_UNW","Married women not currently using a contraceptive method (unweighted)","Number","Currently married women"
"FP_RNIU_W_MAR","Reason for not intending to use contraception: Not married","Percent","Currently married women"
"FP_RNIU_W_OMR","Reason for not intending to use contraception: Other marriage related reasons","Percent","Currently married women"
"FP_RNIU_W_INS","Reason for not intending to use contraception: Infrequent sex","Percent","Currently married women"
"FP_RNIU_W_MEN","Reason for not intending to use contraception: Menopausal, hysterectomized","Percent","Currently married women"
"FP_RNIU_W_SBF","Reason for not intending to use contraception: Subfecund, infecund","Percent","Currently married women"
"FP_RNIU_W_PPA","Reason for not intending to use contraception: Postpartum amenorrheic/breastfeeding","Percent","Currently married women"
"FP_RNIU_W_WMC","Reason for not intending to use contraception: Wants more children","Percent","Currently married women"
"FP_RNIU_W_OFT","Reason for not intending to use contraception: Other fertility related reasons","Percent","Currently married women"
"FP_RNIU_W_ROP","Reason for not intending to use contraception: Respondent opposed","Percent","Currently married women"
"FP_RNIU_W_SOP","Reason for not intending to use contraception: Spouse opposed","Percent","Currently married women"
"FP_RNIU_W_OOP","Reason for not intending to use contraception: Others opposed","Percent","Currently married women"
"FP_RNIU_W_REL","Reason for not intending to use contraception: Religious prohibition","Percent","Currently married women"
"FP_RNIU_W_OPP","Reason for not intending to use contraception: Other opposition to use","Percent","Currently married women"
"FP_RNIU_W_LKN","Reason for not intending to use contraception: Lack of knowledge","Percent","Currently married women"
"FP_RNIU_W_KNM","Reason for not intending to use contraception: Knows no method","Percent","Currently married women"
"FP_RNIU_W_KNS","Reason for not intending to use contraception: Knows no source","Percent","Currently married women"
"FP_RNIU_W_OKN","Reason for not intending to use contraception: Other knowledge related","Percent","Currently married women"
"FP_RNIU_W_HCN","Reason for not intending to use contraception: Health concerns","Percent","Currently married women"
"FP_RNIU_W_SID","Reason for not intending to use contraception: Fear of side effects","Percent","Currently married women"
"FP_RNIU_W_ACC","Reason for not intending to use contraception: Lack of access","Percent","Currently married women"
"FP_RNIU_W_CST","Reason for not intending to use contraception: Cost too much","Percent","Currently married women"
"FP_RNIU_W_INC","Reason for not intending to use contraception: Inconvenient to use","Percent","Currently married women"
"FP_RNIU_W_BOD","Reason for not intending to use contraception: Interfere with body","Percent","Currently married women"
"FP_RNIU_W_MTH","Reason for not intending to use contraception: Other method related","Percent","Currently married women"
"FP_RNIU_W_OTH","Reason for not intending to use contraception: Other","Percent","Currently married women"
"FP_RNIU_W_UNK","Reason for not intending to use contraception: DK","Percent","Currently married women"
"FP_RNIU_W_MIS","Reason for not intending to use contraception: Missing","Percent","Currently married women"
"FP_RNIU_W_TOT","Reason for not intending to use contraception: Total","Percent","Currently married women"
"FP_RNIU_W_NUM","Married women who are not using a contraceptive method and who do not intend to use in the future","Number","Currently married women"
"FP_RNIU_W_UNW","Married women who are not using a contraceptive method and who do not intend to use in the future (unweighted)","Number","Currently married women"
"FP_EFPM_W_RDO","Family planning messages on the radio [Women]","Percent","Women interviewed"
"FP_EFPM_W_TLV","Family planning messages on television [Women]","Percent","Women interviewed"
"FP_EFPM_W_NWS","Family planning messages in newspapers or magazines [Women]","Percent","Women interviewed"
"FP_EFPM_W_NON","Family planning messages in none of these three media [Women]","Percent","Women interviewed"
"FP_EFPM_W_NUM","Number of women","Number","Women interviewed"
"FP_EFPM_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"FP_EFPM_M_RDO","Family planning messages on the radio [Men]","Percent","Men interviewed"
"FP_EFPM_M_TLV","Family planning messages on television [Men]","Percent","Men interviewed"
"FP_EFPM_M_NWS","Family planning messages in newspapers or magazines [Men]","Percent","Men interviewed"
"FP_EFPM_M_NON","Family planning messages in none of these three media [Men]","Percent","Men interviewed"
"FP_EFPM_M_NUM","Number of men","Number","Men interviewed"
"FP_EFPM_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"FP_NFPP_W_FPW","Nonusers visited by FP worker and told about FP","Percent","Women who are not using contraception"
"FP_NFPP_W_HFP","Nonusers who visited a health facility and discussed FP","Percent","Women who are not using contraception"
"FP_NFPP_W_HNF","Nonusers who visited a health facility but did not discuss FP","Percent","Women who are not using contraception"
"FP_NFPP_W_NFP","Nonusers who did not discuss FP with a fieldworker or at a health facility","Percent","Women who are not using contraception"
"FP_NFPP_W_NUM","Number of nonusers of FP","Number","Women who are not using contraception"
"FP_NFPP_W_UNW","Number of nonusers of FP (unweighted)","Number","Women who are not using contraception"
"MA_MSTA_W_NMA","Current marital status [Women]: Never married","Percent","Women interviewed"
"MA_MSTA_W_MAR","Current marital status [Women]: Married","Percent","Women interviewed"
"MA_MSTA_W_LTG","Current marital status [Women]: Living together","Percent","Women interviewed"
"MA_MSTA_W_DIV","Current marital status [Women]: Divorced","Percent","Women interviewed"
"MA_MSTA_W_SEP","Current marital status [Women]: Not living together","Percent","Women interviewed"
"MA_MSTA_W_WID","Current marital status [Women]: Widowed","Percent","Women interviewed"
"MA_MSTA_W_MIS","Current marital status [Women]: Missing","Percent","Women interviewed"
"MA_MSTA_W_TOT","Women: Total","Percent","Women interviewed"
"MA_MSTA_W_UNI","Current marital status [Women]: Married or living in union","Percent","Women interviewed"
"MA_MSTA_W_NUM","Number of women","Number","Women interviewed"
"MA_MSTA_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"MA_MSTA_M_NMA","Current marital status [Men]: Never married","Percent","Men interviewed"
"MA_MSTA_M_MAR","Current marital status [Men]: Married","Percent","Men interviewed"
"MA_MSTA_M_LTG","Current marital status [Men]: Living together","Percent","Men interviewed"
"MA_MSTA_M_DIV","Current marital status [Men]: Divorced","Percent","Men interviewed"
"MA_MSTA_M_SEP","Current marital status [Men]: Not living together","Percent","Men interviewed"
"MA_MSTA_M_WID","Current marital status [Men]: Widowed","Percent","Men interviewed"
"MA_MSTA_M_MIS","Current marital status [Men]: Missing","Percent","Men interviewed"
"MA_MSTA_M_TOT","Men: Total","Percent","Men interviewed"
"MA_MSTA_M_UNI","Current marital status [Men]: Married or living in union","Percent","Men interviewed"
"MA_MSTA_M_NUM","Number of men","Number","Men interviewed"
"MA_MSTA_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"MA_CWIV_W_0WV","Number of co-wives: No other wives","Percent","Currently married women"
"MA_CWIV_W_1WV","Number of co-wives: One other wife","Percent","Currently married women"
"MA_CWIV_W_2PW","Number of co-wives: Two or more wives","Percent","Currently married women"
"MA_CWIV_W_DKM","Number of co-wives: don't know or missing","Percent","Currently married women"
"MA_CWIV_W_TOT","Married women: Total","Percent","Currently married women"
"MA_CWIV_W_NUM","Number of married women","Number","Currently married women"
"MA_CWIV_W_UNW","Number of married women (unweighted)","Number","Currently married women"
"MA_WIVE_M_1WV","Number of wives: One wife","Percent","Currently married men"
"MA_WIVE_M_2PW","Number of wives: Two or more wives","Percent","Currently married men"
"MA_WIVE_M_DKM","Number of wives [Men]: don't know or missing","Percent","Currently married men"
"MA_WIVE_M_TOT","Number of wives: Total","Percent","Currently married men"
"MA_WIVE_M_NUM","Number of married men","Number","Currently married men"
"MA_WIVE_M_UNW","Number of married men (unweighted)","Number","Currently married men"
"MA_MBAG_W_B15","Women first married by exact age 15","Percent","All women"
"MA_MBAG_W_B18","Women first married by exact age 18","Percent","All women"
"MA_MBAG_W_B20","Women first married by exact age 20","Percent","All women"
"MA_MBAG_W_B22","Women first married by exact age 22","Percent","All women"
"MA_MBAG_W_B25","Women first married by exact age 25","Percent","All women"
"MA_MBAG_W_NMA","Women never married","Percent","All women"
"MA_MBAG_W_NUM","Number of women","Number","All women"
"MA_MBAG_W_UNW","Number of women (unweighted)","Number","All women"
"MA_MBAG_M_B15","Men first married by exact age 15","Percent","All men"
"MA_MBAG_M_B18","Men first married by exact age 18","Percent","All men"
"MA_MBAG_M_B20","Men first married by exact age 20","Percent","All men"
"MA_MBAG_M_B22","Men first married by exact age 22","Percent","All men"
"MA_MBAG_M_B25","Men first married by exact age 25","Percent","All men"
"MA_MBAG_M_B28","Men first married by exact age 28","Percent","All men"
"MA_MBAG_M_B30","Men first married by exact age 30","Percent","All men"
"MA_MBAG_M_NMA","Men never married","Percent","All men"
"MA_MBAG_M_NUM","Number of men","Number","All men"
"MA_MBAG_M_UNW","Number of men (unweighted)","Number","All men"
"MA_AAFM_W_M20","Median age at first marriage [Women]: 20-24","Median","Women age 20-24"
"MA_AAFM_W_M25","Median age at first marriage [Women]: 25-29","Median","Women age 25-29"
"MA_AAFM_W_M30","Median age at first marriage [Women]: 30-34","Median","Women age 30-34"
"MA_AAFM_W_M35","Median age at first marriage [Women]: 35-39","Median","Women age 35-39"
"MA_AAFM_W_M40","Median age at first marriage [Women]: 40-44","Median","Women age 40-44"
"MA_AAFM_W_M45","Median age at first marriage [Women]: 45-49","Median","Women age 45-49"
"MA_AAFM_W_M2A","Median age at first marriage [Women]: 20-49","Median","Women age 20-49"
"MA_AAFM_W_M2B","Median age at first marriage [Women]: 25-49","Median","Women age 25-49"
"MA_AAFM_M_M20","Median age at first marriage [Men]: 20-24","Median","Men age 20-24"
"MA_AAFM_M_M25","Median age at first marriage [Men]: 25-29","Median","Men age 25-29"
"MA_AAFM_M_M30","Median age at first marriage [Men]: 30-34","Median","Men age 30-34"
"MA_AAFM_M_M35","Median age at first marriage [Men]: 35-39","Median","Men age 35-39"
"MA_AAFM_M_M40","Median age at first marriage [Men]: 40-44","Median","Men age 40-44"
"MA_AAFM_M_M45","Median age at first marriage [Men]: 45-49","Median","Men age 45-49"
"MA_AAFM_M_M50","Median age at first marriage [Men]: 50-54","Median","Men age 50-54"
"MA_AAFM_M_M55","Median age at first marriage [Men]: 55-59","Number","Men age 55-59"
"MA_AAFM_M_M60","Median age at first marriage [Men]: 60-64","Number","Men age 60-64"
"MA_AAFM_M_M2A","Median age at first marriage [Men]: 20-49(54,59)","Median","Men age 20-49[54,59]"
"MA_AAFM_M_M2B","Median age at first marriage [Men]: 25-49(54,59)","Median","Men age 25-49[54,59]"
"SX_SBAG_W_B15","First sexual intercourse by exact age 15 [Women]","Percent","All women"
"SX_SBAG_W_B18","First sexual intercourse by exact age 18 [Women]","Percent","All women"
"SX_SBAG_W_B20","First sexual intercourse by exact age 20 [Women]","Percent","All women"
"SX_SBAG_W_B22","First sexual intercourse by exact age 22 [Women]","Percent","All women"
"SX_SBAG_W_B25","First sexual intercourse by exact age 25 [Women]","Percent","All women"
"SX_SBAG_W_NSX","Never had sexual intercourse [Women]","Percent","All women"
"SX_SBAG_W_NUM","Number of women","Number","All women"
"SX_SBAG_W_UNW","Number of women (unweighted)","Number","All women"
"SX_SBAG_M_B15","First sexual intercourse by exact age 15 [Men]","Percent","All men"
"SX_SBAG_M_B18","First sexual intercourse by exact age 18 [Men]","Percent","All men"
"SX_SBAG_M_B20","First sexual intercourse by exact age 20 [Men]","Percent","All men"
"SX_SBAG_M_B22","First sexual intercourse by exact age 22 [Men]","Percent","All men"
"SX_SBAG_M_B25","First sexual intercourse by exact age 25 [Men]","Percent","All men"
"SX_SBAG_M_NSX","Never had sexual intercourse [Men]","Percent","All men"
"SX_SBAG_M_NUM","Number of men","Number","All men"
"SX_SBAG_M_UNW","Number of men (unweighted)","Number","All men"
"SX_AAFS_W_M20","Median age at first sexual intercourse [Women]: 20-24","Median","Women age 20-24"
"SX_AAFS_W_M25","Median age at first sexual intercourse [Women]: 25-29","Median","Women age 25-29"
"SX_AAFS_W_M30","Median age at first sexual intercourse [Women]: 30-34","Median","Women age 30-34"
"SX_AAFS_W_M35","Median age at first sexual intercourse [Women]: 35-39","Median","Women age 35-39"
"SX_AAFS_W_M40","Median age at first sexual intercourse [Women]: 40-44","Median","Women age 40-44"
"SX_AAFS_W_M45","Median age at first sexual intercourse [Women]: 45-49","Median","Women age 45-49"
"SX_AAFS_W_M2A","Median age at first sexual intercourse [Women]: 20-49","Median","Women age 20-49"
"SX_AAFS_W_M2B","Median age at first sexual intercourse [Women]: 25-49","Median","Women age 25-49"
"SX_AAFS_M_M20","Median age at first sexual intercourse [Men]: 20-24","Median","Men age 20-24"
"SX_AAFS_M_M25","Median age at first sexual intercourse [Men]: 25-29","Median","Men age 25-29"
"SX_AAFS_M_M30","Median age at first sexual intercourse [Men]: 30-34","Median","Men age 30-34"
"SX_AAFS_M_M35","Median age at first sexual intercourse [Men]: 35-39","Median","Men age 35-39"
"SX_AAFS_M_M40","Median age at first sexual intercourse [Men]: 40-44","Median","Men age 40-44"
"SX_AAFS_M_M45","Median age at first sexual intercourse [Men]: 45-49","Median","Men age 45-49"
"SX_AAFS_M_M50","Median age at first sexual intercourse [Men]: 50-54","Median","Men age 50-54"
"SX_AAFS_M_M55","Median age at first sexual intercourse [Men]: 55-59","Number","Men age 55-59"
"SX_AAFS_M_M60","Median age at first sexual intercourse [Men]: 60-64","Number","Men age 60-64"
"SX_AAFS_M_M2A","Median age at first sexual intercourse [Men]: 20-49(54,59)","Median","Men age 20-54[59]"
"SX_AAFS_M_M2B","Median age at first sexual intercourse [Men]: 25-49(54,59)","Median","Men age 25-54[59]"
"SX_LSEX_W_4WK","Recent sexual activity: Active in last 4 weeks","Percent","Women interviewed"
"SX_LSEX_W_1YR","Recent sexual activity [Women]: Within the last year","Percent","Women interviewed"
"SX_LSEX_W_1PY","Recent sexual activity [Women]: One or more years ago","Percent","Women interviewed"
"SX_LSEX_W_MIS","Recent sexual activity [Women]: Missing","Percent","Women interviewed"
"SX_LSEX_W_NSX","Recent sexual activity: Never had sex","Percent","Women interviewed"
"SX_LSEX_W_TOT","Women: Total","Percent","Women interviewed"
"SX_LSEX_W_NUM","Number of women","Number","Women interviewed"
"SX_LSEX_W_UNW","Number of women (unweighted)","Number","Women interviewed"
"SX_LSEX_M_4WK","Recent sexual activity [Men]: Active 4 Weeks","Percent","Men interviewed"
"SX_LSEX_M_1YR","Recent sexual activity [Men]: Within the last year","Percent","Men interviewed"
"SX_LSEX_M_1PY","Recent sexual activity [Men]: One or more years ago","Percent","Men interviewed"
"SX_LSEX_M_MIS","Recent sexual activity [Men]: Missing","Percent","Men interviewed"
"SX_LSEX_M_NSX","Recent sexual activity [Men]: Never had sex","Percent","Men interviewed"
"SX_LSEX_M_TOT","Men: Total","Percent","Men interviewed"
"SX_LSEX_M_NUM","Number of men","Number","Men interviewed"
"SX_LSEX_M_UNW","Number of men (unweighted)","Number","Men interviewed"
"CM_ECMT_C_NNR","Neonatal mortality rate (5 year periods)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_NNE","Neonatal mortality rate (5 year periods) - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_NNX","Neonatal mortality rate (5 year periods) - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_NNL","Neonatal mortality rate (5 year periods) - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_NNU","Neonatal mortality rate (5 year periods) - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_PNR","Postneonatal mortality (5 year periods)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_PNE","Postneonatal mortality (5 year periods) - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_PNX","Postneonatal mortality (5 year periods) - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_PNL","Postneonatal mortality (5 year periods) - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_PNU","Postneonatal mortality (5 year periods) - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_IMR","Infant mortality rate (5 year periods)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_IME","Infant mortality rate (5 year periods) - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_IMX","Infant mortality rate (5 year periods) - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_IML","Infant mortality rate (5 year periods) - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_IMU","Infant mortality rate (5 year periods) - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_CMR","Child mortality (5 year periods)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_CME","Child mortality (5 year periods) - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_CMX","Child mortality (5 year periods) - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_CML","Child mortality (5 year periods) - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_CMU","Child mortality (5 year periods) - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_U5M","Under-five mortality rate (5 year periods)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_U5E","Under-five mortality rate (5 year periods) - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_U5X","Under-five mortality rate (5 year periods) - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_U5L","Under-five mortality rate (5 year periods) - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMT_C_U5U","Under-five mortality rate (5 year periods) - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_NNR","Neonatal mortality rate","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_NNE","Neonatal mortality rate - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_NNX","Neonatal mortality rate - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_NNL","Neonatal mortality rate - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_NNU","Neonatal mortality rate - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_PNR","Postneonatal mortality rate","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_PNE","Postneonatal mortality - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_PNX","Postneonatal mortality - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_PNL","Postneonatal mortality - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_PNU","Postneonatal mortality - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_IMR","Infant mortality rate","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_IME","Infant mortality rate - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_IMX","Infant mortality rate - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_IML","Infant mortality rate - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_IMU","Infant mortality rate - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_CMR","Child mortality rate","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_CME","Child mortality - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_CMX","Child mortality - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_CML","Child mortality - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_CMU","Child mortality - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_U5M","Under-five mortality rate","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_U5E","Under-five mortality rate - standard error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_U5X","Under-five mortality rate - relative error","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_U5L","Under-five mortality rate - CI lower bound (-2SE)","Rate","Per thousand children exposed in period in age group"
"CM_ECMR_C_U5U","Under-five mortality rate - CI upper bound (+2SE)","Rate","Per thousand children exposed in period in age group"
"CM_PNMR_C_NSB","Stillbirths","Number","Number of pregnancies 7+ months"
"CM_PNMR_C_NEN","Early neonatal deaths","Number","Number of pregnancies 7+ months"
"CM_PNMR_C_PMR","Perinatal mortality rate (5 years)","Rate","Number of pregnancies 7+ months"
"CM_PNMR_C_NUM","Number of pregnancies of 7+ months duration","Number","Number of pregnancies 7+ months"
"CM_PNMR_C_UNW","Number of pregnancies of 7+ months duration (unweighted)","Number","Number of pregnancies 7+ months"
"CM_HRFB_C_NON","High-risk births: Not in any risk category","Percent","Births in five years preceding survey"
"CM_HRFB_C_FOB","High-risk births: First birth","Percent","Births in five years preceding survey"
"CM_HRFB_C_A18","High-risk births: Mother's age < 18","Percent","Births in five years preceding survey"
"CM_HRFB_C_A34","High-risk births: Mother's age > 34","Percent","Births in five years preceding survey"
"CM_HRFB_C_B24","High-risk births: Birth interval < 24 months","Percent","Births in five years preceding survey"
"CM_HRFB_C_BO3","High-risk births: Birth order > 3","Percent","Births in five years preceding survey"
"CM_HRFB_C_SNG","High-risk births: Single risk category","Percent","Births in five years preceding survey"
"CM_HRFB_C_A1B","High-risk births: Age < 18 & birth interval < 24 months","Percent","Births in five years preceding survey"
"CM_HRFB_C_A2B","High-risk births: Age > 34 & birth interval < 24 months","Percent","Births in five years preceding survey"
"CM_HRFB_C_ABO","High-risk births: Age > 34 & birth order > 3","Percent","Births in five years preceding survey"
"CM_HRFB_C_A3B","High-risk births: Age > 34, birth interval < 24 and birth order > 3","Percent","Births in five years preceding survey"
"CM_HRFB_C_BIO","High-risk births: Birth interval < 24 & birth order > 3","Percent","Births in five years preceding survey"
"CM_HRFB_C_MLT","High-risk births: Multiple risk categories","Percent","Births in five years preceding survey"
"CM_HRFB_C_ANY","High-risk births: In any risk category","Percent","Births in five years preceding survey"
"CM_HRFB_C_A1S","High-risk births: Mother's age < 18 subtotal","Percent","Births in five years preceding survey"
"CM_HRFB_C_A3S","High-risk births: Mother's age > 34 subtotal","Percent","Births in five years preceding survey"
"CM_HRFB_C_B1S","High-risk births: Birth interval < 24 months subtotal","Percent","Births in five years preceding survey"
"CM_HRFB_C_B3S","High-risk births: Birth order > 3 subtotal","Percent","Births in five years preceding survey"
"CM_HRFB_C_TOT","High risk births: Total","Percent","Births in five years preceding survey"
"CM_HRFB_C_NUM","Number of children born in the last five years","Number","Births in five years preceding survey"
"CM_HRFB_C_UNW","Number of children born in the last five years (unweighted)","Number","Births in five years preceding survey"
"CM_HRFR_C_NON","High-risk fertility risk ratio: Not in any risk category","Ratio","Births in five years preceding survey"
"CM_HRFR_C_FOB","High-risk fertility risk ratio: First birth","Ratio","Births in five years preceding survey"
"CM_HRFR_C_A18","High-risk fertility risk ratio: Mother's age < 18","Ratio","Births in five years preceding survey"
"CM_HRFR_C_A34","High-risk fertility risk ratio: Mother's age > 34","Ratio","Births in five years preceding survey"
"CM_HRFR_C_B24","High-risk fertility risk ratio: Birth interval < 24 months","Ratio","Births in five years preceding survey"
"CM_HRFR_C_BO3","High-risk fertility risk ratio: Birth order > 3","Ratio","Births in five years preceding survey"
